time_s,pelvis_flex_deg(Z),pelvis_abd_deg(X),pelvis_rot_deg(Y)
6.956126,-3.370,2.004,-1.299
6.972929,-3.244,1.315,-0.772
6.989731,-2.928,0.668,-0.173
7.006533,-2.567,0.175,0.382
7.023335,-2.112,-0.237,0.942
7.040138,-1.498,-0.705,1.524
7.056940,-0.880,-1.231,2.022
7.073742,-0.407,-1.730,2.340
7.090544,0.133,-2.209,2.592
7.107347,0.573,-2.616,2.654
7.124149,0.874,-2.966,2.636
7.140951,1.013,-3.219,2.504
7.157753,1.135,-3.404,2.446
7.174556,1.166,-3.493,2.391
7.191358,1.167,-3.468,2.311
7.208160,1.110,-3.344,2.215
7.224962,1.118,-3.119,2.229
7.241765,1.021,-2.743,2.074
7.258567,0.907,-2.273,1.960
7.275369,0.847,-1.719,1.816
7.292171,0.976,-1.134,1.777
7.308973,1.058,-0.484,1.555
7.325776,1.052,0.147,1.129
7.342578,0.987,0.750,0.579
7.359380,0.886,1.342,-0.107
7.376182,0.851,1.850,-0.805
7.392985,0.956,2.257,-1.384
7.409787,1.033,2.515,-1.998
7.426589,0.993,2.681,-2.693
7.443391,0.685,2.774,-3.516
7.460194,0.226,2.791,-4.250
7.476996,-0.274,2.826,-4.859
7.493798,-0.878,2.827,-5.429
7.510600,-1.558,2.811,-5.865
7.527403,-2.275,2.770,-6.231
7.544205,-2.948,2.665,-6.508
7.561007,-3.342,2.474,-6.454
7.577809,-3.539,2.227,-6.137
7.594612,-3.627,1.934,-5.706
7.611414,-3.627,1.574,-5.145
7.628216,-3.566,1.118,-4.540
7.645018,-3.396,0.587,-3.876
7.661820,-3.126,0.031,-3.152
7.678623,-2.780,-0.494,-2.380
7.695425,-2.454,-1.092,-1.573
7.712227,-2.330,-1.695,-0.920
7.729029,-2.176,-2.303,-0.280
7.745832,-1.882,-2.885,0.431
7.762634,-1.476,-3.379,1.084
7.779436,-0.962,-3.797,1.723
7.796238,-0.322,-4.125,2.407
7.813041,0.452,-4.477,3.121
7.829843,1.168,-4.863,3.765
7.846645,1.791,-5.159,4.263
7.863447,2.441,-5.455,4.680
7.880250,2.951,-5.718,4.968
7.897052,3.354,-5.870,5.169
7.913854,3.713,-5.984,5.308
7.930656,4.003,-6.038,5.410
7.947459,4.251,-6.080,5.471
7.964261,4.264,-6.043,5.414
7.981063,4.200,-5.839,5.221
7.997865,4.039,-5.387,4.880
8.014667,3.741,-4.595,4.409
8.031470,3.499,-3.693,3.913
8.048272,3.308,-2.769,3.416
8.065074,3.088,-1.798,2.911
8.081876,2.766,-0.848,2.294
8.098679,2.302,0.122,1.560
8.115481,1.838,1.028,0.700
8.132283,1.405,1.797,-0.110
8.149085,1.071,2.323,-0.788
8.165888,0.797,2.560,-1.437
8.182690,0.469,2.702,-2.075
8.199492,0.009,2.807,-2.792
8.216294,-0.577,2.865,-3.528
8.233097,-1.156,2.867,-4.177
8.249899,-1.829,2.866,-4.780
8.266701,-2.531,2.880,-5.250
8.283503,-3.303,2.898,-5.688
8.300306,-4.017,2.893,-5.970
8.317108,-4.736,2.841,-6.187
8.333910,-5.332,2.674,-6.282
8.350712,-5.920,2.485,-6.300
8.367514,-6.439,2.216,-6.263
8.384317,-6.808,1.868,-6.029
8.401119,-7.010,1.562,-5.662
8.417921,-7.000,1.294,-5.177
8.434723,-6.763,0.970,-4.557
8.451526,-6.558,0.647,-3.936
8.468328,-6.312,0.326,-3.238
8.485130,-6.063,0.062,-2.562
8.501932,-5.644,-0.229,-1.809
8.518735,-5.036,-0.499,-1.021
8.535537,-4.454,-0.679,-0.375
8.552339,-3.807,-0.968,0.220
8.569141,-3.118,-1.446,0.855
8.585944,-2.629,-1.901,1.313
8.602746,-2.067,-2.414,1.752
8.619548,-1.480,-2.887,2.123
8.636350,-0.883,-3.405,2.490
8.653153,-0.303,-3.916,2.821
8.669955,0.187,-4.375,3.112
8.686757,0.648,-4.753,3.387
8.703559,1.077,-4.949,3.673
8.720361,1.440,-4.914,3.803
8.737164,1.860,-4.665,3.966
8.753966,2.054,-4.299,3.882
8.770768,2.178,-3.772,3.681
8.787570,2.211,-2.991,3.360
8.804373,2.195,-2.100,2.988
8.821175,2.202,-1.135,2.615
8.837977,2.140,-0.151,2.113
8.854779,1.922,0.828,1.459
8.871582,1.563,1.777,0.713
8.888384,1.170,2.575,-0.090
8.905186,0.890,3.337,-0.770
8.921988,0.629,3.928,-1.428
8.938791,0.377,4.347,-2.036
8.955593,0.084,4.683,-2.621
8.972395,-0.337,4.962,-3.249
8.989197,-0.841,5.144,-3.789
9.005999,-1.332,5.211,-4.278
9.022802,-1.958,5.151,-4.776
9.039604,-2.669,5.058,-5.202
9.056406,-3.399,4.978,-5.532
9.073208,-4.016,4.903,-5.688
9.090011,-4.566,4.828,-5.760
9.106813,-5.016,4.719,-5.732
9.123615,-5.419,4.511,-5.692
9.140417,-5.651,4.122,-5.569
9.157220,-5.784,3.599,-5.330
9.174022,-5.885,3.108,-4.833
9.190824,-5.755,2.662,-4.201
9.207626,-5.450,2.194,-3.484
9.224429,-5.285,1.702,-2.827
9.241231,-5.122,1.118,-2.178
9.258033,-5.021,0.532,-1.619
9.274835,-4.822,-0.028,-0.982
9.291638,-4.536,-0.486,-0.331
9.308440,-4.264,-0.783,0.243
9.325242,-3.579,-1.240,0.886
9.342044,-2.962,-1.763,1.466
9.358846,-2.419,-2.366,1.944
9.375649,-1.789,-2.955,2.372
9.392451,-1.167,-3.495,2.741
9.409253,-0.566,-4.010,3.084
9.426055,0.009,-4.475,3.400
9.442858,0.532,-4.829,3.683
9.459660,1.136,-5.126,4.012
9.476462,1.552,-5.218,4.170
9.493264,1.876,-5.082,4.169
9.510067,2.046,-4.701,4.037
9.526869,2.119,-4.103,3.782
9.543671,2.129,-3.372,3.456
9.560473,2.230,-2.576,3.145
9.577276,2.401,-1.715,2.842
9.594078,2.513,-0.818,2.480
9.610880,2.530,0.064,1.925
9.627682,2.477,0.997,1.228
9.644485,2.445,1.767,0.563
9.661287,2.501,2.382,-0.081
9.678089,2.573,2.744,-0.695
9.694891,2.633,3.017,-1.275
9.711693,2.495,3.251,-1.957
9.728496,2.186,3.449,-2.613
9.745298,1.684,3.597,-3.301
9.762100,1.050,3.667,-3.879
9.778902,0.259,3.665,-4.426
9.795705,-0.615,3.647,-4.886
9.812507,-1.432,3.606,-5.193
9.829309,-2.106,3.558,-5.312
9.846111,-2.580,3.458,-5.296
9.862914,-2.951,3.273,-5.198
9.879716,-3.296,3.048,-5.087
9.896518,-3.495,2.695,-4.949
9.913320,-3.594,2.300,-4.714
9.930123,-3.611,1.933,-4.314
9.946925,-3.448,1.546,-3.856
9.963727,-3.181,1.115,-3.397
9.980529,-3.010,0.678,-2.923
9.997332,-2.968,0.234,-2.471
10.014134,-2.897,-0.172,-1.949
10.030936,-2.735,-0.561,-1.442
10.047738,-2.471,-0.849,-0.899
10.064540,-2.099,-1.080,-0.383
10.081343,-1.633,-1.295,0.042
10.098145,-1.145,-1.583,0.487
10.114947,-0.767,-1.829,0.888
10.131749,-0.375,-2.038,1.216
10.148552,0.005,-2.191,1.446
10.165354,0.330,-2.350,1.621
10.182156,0.644,-2.535,1.788
10.198958,0.934,-2.746,2.013
10.215761,1.313,-2.975,2.345
10.232563,1.730,-3.265,2.777
10.249365,2.077,-3.456,3.183
10.266167,2.316,-3.508,3.415
10.282970,2.456,-3.389,3.541
10.299772,2.519,-3.161,3.498
10.316574,2.683,-2.777,3.440
10.333376,2.849,-2.213,3.296
10.350179,2.953,-1.532,2.926
10.366981,2.872,-0.709,2.322
10.383783,2.652,0.226,1.457
10.400585,2.373,1.131,0.470
10.417387,2.129,1.892,-0.520
10.434190,1.887,2.427,-1.433
10.450992,1.672,2.810,-2.178
10.467794,1.280,3.056,-2.960
10.484596,0.793,3.117,-3.683
10.501399,0.221,3.075,-4.257
10.518201,-0.399,2.911,-4.740
10.535003,-1.040,2.687,-5.081
10.551805,-1.759,2.463,-5.387
10.568608,-2.426,2.237,-5.450
10.585410,-2.990,2.039,-5.436
10.602212,-3.444,1.863,-5.355
10.619014,-3.800,1.677,-5.190
10.635817,-4.091,1.545,-4.951
10.652619,-4.327,1.396,-4.720
10.669421,-4.533,1.184,-4.397
10.686223,-4.709,0.983,-4.057
10.703026,-4.709,0.808,-3.607
10.719828,-4.630,0.601,-3.184
10.736630,-4.586,0.370,-2.733
10.753432,-4.606,0.104,-2.290
10.770234,-4.558,-0.159,-1.807
10.787037,-4.449,-0.449,-1.371
10.803839,-4.063,-0.782,-0.783
